id,diagram_type,source_file,instruction,input,output,text
ex-00126,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram with note on partition,,"@startuml
start
partition ""**process** HelloWorld"" {
  note
    This is my note
    ----
    //Creole test//
  end note
  :Ready;
  :HelloWorld(i)>
  :Hello-Sent;
}
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram with note on partition
PlantUML output:
@startuml
start
partition ""**process** HelloWorld"" {
  note
    This is my note
    ----
    //Creole test//
  end note
  :Ready;
  :HelloWorld(i)>
  :Hello-Sent;
}
@enduml"
ex-00127,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a PlantUML activity diagram with note on backward activity,,"@startuml
start
repeat :Enter data;
  :Submit;
backward :Warning;
note right: Note
repeat while (Valid?) is (No) not (Yes)
stop
@enduml","Diagram type: activity_new_syntax
Instruction: Create a PlantUML activity diagram with note on backward activity
PlantUML output:
@startuml
start
repeat :Enter data;
  :Submit;
backward :Warning;
note right: Note
repeat while (Valid?) is (No) not (Yes)
stop
@enduml"
ex-00128,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram demonstrating input split,,"@startuml
split
  -[hidden]->
  :A;
split again
  -[hidden]->
  :B;
split again
  -[hidden]->
  :C;
end split
:D;
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram demonstrating input split
PlantUML output:
@startuml
split
  -[hidden]->
  :A;
split again
  -[hidden]->
  :B;
split again
  -[hidden]->
  :C;
end split
:D;
@enduml"
ex-00129,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a PlantUML activity diagram demonstrating output split with kill,,"@startuml
start
split
  :A;
  kill
split again
  :B;
  detach
split again
  :C;
  kill
end split
@enduml","Diagram type: activity_new_syntax
Instruction: Create a PlantUML activity diagram demonstrating output split with kill
PlantUML output:
@startuml
start
split
  :A;
  kill
split again
  :B;
  detach
split again
  :C;
  kill
end split
@enduml"
ex-00130,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram with equals conditional,,"@startuml
if (counter?) equals (5) then
  :print 5;
else
  :print not 5;
endif
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram with equals conditional
PlantUML output:
@startuml
if (counter?) equals (5) then
  :print 5;
else
  :print not 5;
endif
@enduml"
ex-00131,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a complete PlantUML activity diagram for a web request flow,,"@startuml
start
:ClickServlet.handleRequest();
:new page;
if (Page.onSecurityCheck) then (true)
  :Page.onInit();
  if (isForward?) then (no)
    :Process controls;
    if (continue processing?) then (no)
      stop
    endif
    if (isPost?) then (yes)
      :Page.onPost();
    else (no)
      :Page.onGet();
    endif
    :Page.onRender();
  endif
else (false)
endif
if (do redirect?) then (yes)
  :redirect process;
else
  if (do forward?) then (yes)
    :Forward request;
  else (no)
    :Render page template;
  endif
endif
stop
@enduml","Diagram type: activity_new_syntax
Instruction: Create a complete PlantUML activity diagram for a web request flow
PlantUML output:
@startuml
start
:ClickServlet.handleRequest();
:new page;
if (Page.onSecurityCheck) then (true)
  :Page.onInit();
  if (isForward?) then (no)
    :Process controls;
    if (continue processing?) then (no)
      stop
    endif
    if (isPost?) then (yes)
      :Page.onPost();
    else (no)
      :Page.onGet();
    endif
    :Page.onRender();
  endif
else (false)
endif
if (do redirect?) then (yes)
  :redirect process;
else
  if (do forward?) then (yes)
    :Forward request;
  else (no)
    :Render page template;
  endif
endif
stop
@enduml"
ex-00132,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram with an infinite while loop using detach,,"@startuml
:Step 1;
if (condition1) then
  while (loop forever)
    :Step 2;
  endwhile
  -[hidden]->
  detach
else
  :end normally;
  stop
endif
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram with an infinite while loop using detach
PlantUML output:
@startuml
:Step 1;
if (condition1) then
  while (loop forever)
    :Step 2;
  endwhile
  -[hidden]->
  detach
else
  :end normally;
  stop
endif
@enduml"
ex-00133,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a PlantUML activity diagram showing conditional with stop,,"@startuml
if (condition?) then
  :error;
  stop
endif
#palegreen:action;
@enduml","Diagram type: activity_new_syntax
Instruction: Create a PlantUML activity diagram showing conditional with stop
PlantUML output:
@startuml
if (condition?) then
  :error;
  stop
endif
#palegreen:action;
@enduml"
ex-00134,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram with partition link,,"@startuml
start
partition ""[[http://plantuml.com partition_name]]"" {
  :read doc. on [[http://plantuml.com plantuml_website]];
  :test diagram;
}
end
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram with partition link
PlantUML output:
@startuml
start
partition ""[[http://plantuml.com partition_name]]"" {
  :read doc. on [[http://plantuml.com plantuml_website]];
  :test diagram;
}
end
@enduml"
ex-00135,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a PlantUML activity diagram using multiple grouping styles,,"@startuml
start
group Group
  :Activity;
end group
partition Partition {
  :Activity;
}
package Package {
  :Activity;
}
rectangle Rectangle {
  :Activity;
}
card Card {
  :Activity;
}
end
@enduml","Diagram type: activity_new_syntax
Instruction: Create a PlantUML activity diagram using multiple grouping styles
PlantUML output:
@startuml
start
group Group
  :Activity;
end group
partition Partition {
  :Activity;
}
package Package {
  :Activity;
}
rectangle Rectangle {
  :Activity;
}
card Card {
  :Activity;
}
end
@enduml"
ex-00136,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram with swimlanes and conditionals,,"@startuml
|#pink|Actor_For_red|
start
if (color?) is (red) then
  #pink:**action red**;
  :foo1;
else (not red)
  |#lightgray|Actor_For_no_red|
  #lightgray:**action not red**;
  :foo2;
endif
|Next_Actor|
#lightblue:foo3;
:foo4;
|Final_Actor|
#palegreen:foo5;
stop
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram with swimlanes and conditionals
PlantUML output:
@startuml
|#pink|Actor_For_red|
start
if (color?) is (red) then
  #pink:**action red**;
  :foo1;
else (not red)
  |#lightgray|Actor_For_no_red|
  #lightgray:**action not red**;
  :foo2;
endif
|Next_Actor|
#lightblue:foo3;
:foo4;
|Final_Actor|
#palegreen:foo5;
stop
@enduml"
ex-00137,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a PlantUML activity diagram with if condition using multiprocessor check,,"@startuml
start
if (multiprocessor?) then (yes)
  fork
    :Treatment 1;
  fork again
    :Treatment 2;
  end fork
else (monoproc)
  :Treatment 1;
  :Treatment 2;
endif
@enduml","Diagram type: activity_new_syntax
Instruction: Create a PlantUML activity diagram with if condition using multiprocessor check
PlantUML output:
@startuml
start
if (multiprocessor?) then (yes)
  fork
    :Treatment 1;
  fork again
    :Treatment 2;
  end fork
else (monoproc)
  :Treatment 1;
  :Treatment 2;
endif
@enduml"
ex-00138,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram with InsideDiamond condition style,,"@startuml
skinparam conditionStyle InsideDiamond
start
repeat
  :act1;
  :act2;
repeatwhile (<b>end)
:act3;
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram with InsideDiamond condition style
PlantUML output:
@startuml
skinparam conditionStyle InsideDiamond
start
repeat
  :act1;
  :act2;
repeatwhile (<b>end)
:act3;
@enduml"
ex-00139,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a PlantUML activity diagram showing proper activity label syntax,Activities must start with colon and end with semicolon,"@startuml
:This is an activity;
:Another activity;
:Activities can span
multiple lines;
@enduml","Diagram type: activity_new_syntax
Instruction: Create a PlantUML activity diagram showing proper activity label syntax
Additional input: Activities must start with colon and end with semicolon
PlantUML output:
@startuml
:This is an activity;
:Another activity;
:Activities can span
multiple lines;
@enduml"
ex-00140,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram with text formatting in activities,,"@startuml
start
:Normal text;
:Text with **bold** formatting;
:Text with //italics// formatting;
:Text with __underline__ formatting;
:Text with --strikethrough-- formatting;
stop
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram with text formatting in activities
PlantUML output:
@startuml
start
:Normal text;
:Text with **bold** formatting;
:Text with //italics// formatting;
:Text with __underline__ formatting;
:Text with --strikethrough-- formatting;
stop
@enduml"
ex-00141,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Create a PlantUML activity diagram with arrow labels,,"@startuml
start
:Activity 1;
-> Arrow label;
:Activity 2;
--> Another arrow label;
:Activity 3;
stop
@enduml","Diagram type: activity_new_syntax
Instruction: Create a PlantUML activity diagram with arrow labels
PlantUML output:
@startuml
start
:Activity 1;
-> Arrow label;
:Activity 2;
--> Another arrow label;
:Activity 3;
stop
@enduml"
ex-00142,activity_new_syntax,plantuml_activity_new_syntax_training.jsonl,Generate a PlantUML activity diagram showing fork with one branch ending,,"@startuml
start
fork
  :action 1;
fork again
  :action 2;
  end
end merge
stop
@enduml","Diagram type: activity_new_syntax
Instruction: Generate a PlantUML activity diagram showing fork with one branch ending
PlantUML output:
@startuml
start
fork
  :action 1;
fork again
  :action 2;
  end
end merge
stop
@enduml"
ex-00143,class,plantuml_class_diagram_training.jsonl,Create a basic PlantUML class diagram with two classes,,"@startuml
class Class01
class Class02
@enduml","Diagram type: class
Instruction: Create a basic PlantUML class diagram with two classes
PlantUML output:
@startuml
class Class01
class Class02
@enduml"
ex-00144,class,plantuml_class_diagram_training.jsonl,Create a class diagram showing inheritance relationship,Class01 extends Class02,"@startuml
Class01 <|-- Class02
@enduml","Diagram type: class
Instruction: Create a class diagram showing inheritance relationship
Additional input: Class01 extends Class02
PlantUML output:
@startuml
Class01 <|-- Class02
@enduml"
ex-00145,class,plantuml_class_diagram_training.jsonl,Create a class diagram with composition relationship,Class03 is composed of Class04,"@startuml
Class03 *-- Class04
@enduml","Diagram type: class
Instruction: Create a class diagram with composition relationship
Additional input: Class03 is composed of Class04
PlantUML output:
@startuml
Class03 *-- Class04
@enduml"
ex-00146,class,plantuml_class_diagram_training.jsonl,Create a class diagram with aggregation relationship,Class05 aggregates Class06,"@startuml
Class05 o-- Class06
@enduml","Diagram type: class
Instruction: Create a class diagram with aggregation relationship
Additional input: Class05 aggregates Class06
PlantUML output:
@startuml
Class05 o-- Class06
@enduml"
ex-00147,class,plantuml_class_diagram_training.jsonl,Create a class diagram with dependency,Class07 depends on Class08,"@startuml
Class07 .. Class08
@enduml","Diagram type: class
Instruction: Create a class diagram with dependency
Additional input: Class07 depends on Class08
PlantUML output:
@startuml
Class07 .. Class08
@enduml"
ex-00148,class,plantuml_class_diagram_training.jsonl,Create a class diagram with simple association,Class09 is associated with Class10,"@startuml
Class09 -- Class10
@enduml","Diagram type: class
Instruction: Create a class diagram with simple association
Additional input: Class09 is associated with Class10
PlantUML output:
@startuml
Class09 -- Class10
@enduml"
ex-00149,class,plantuml_class_diagram_training.jsonl,Create a class diagram with interface implementation,Class11 implements Class12,"@startuml
Class11 <|.. Class12
@enduml","Diagram type: class
Instruction: Create a class diagram with interface implementation
Additional input: Class11 implements Class12
PlantUML output:
@startuml
Class11 <|.. Class12
@enduml"
ex-00150,class,plantuml_class_diagram_training.jsonl,Create a class diagram with labeled relationship and cardinality,Class01 contains many Class02 instances,"@startuml
Class01 ""1"" *-- ""many"" Class02 : contains
@enduml","Diagram type: class
Instruction: Create a class diagram with labeled relationship and cardinality
Additional input: Class01 contains many Class02 instances
PlantUML output:
@startuml
Class01 ""1"" *-- ""many"" Class02 : contains
@enduml"
ex-00151,class,plantuml_class_diagram_training.jsonl,Create a class with methods and fields,"Object class with equals method, ArrayList with elementData field and size method","@startuml
Object <|-- ArrayList
Object : equals()
ArrayList : Object[] elementData
ArrayList : size()
@enduml","Diagram type: class
Instruction: Create a class with methods and fields
Additional input: Object class with equals method, ArrayList with elementData field and size method
PlantUML output:
@startuml
Object <|-- ArrayList
Object : equals()
ArrayList : Object[] elementData
ArrayList : size()
@enduml"
ex-00152,class,plantuml_class_diagram_training.jsonl,Create a class with fields and methods using bracket notation,Dummy class with String data field and void methods() method,"@startuml
class Dummy {
  String data
  void methods()
}
@enduml","Diagram type: class
Instruction: Create a class with fields and methods using bracket notation
Additional input: Dummy class with String data field and void methods() method
PlantUML output:
@startuml
class Dummy {
  String data
  void methods()
}
@enduml"
ex-00153,class,plantuml_class_diagram_training.jsonl,Create a class with flexible type/name order,Flight class with flightNumber as Integer and departureTime as Date,"@startuml
class Flight {
  flightNumber : Integer
  departureTime : Date
}
@enduml","Diagram type: class
Instruction: Create a class with flexible type/name order
Additional input: Flight class with flightNumber as Integer and departureTime as Date
PlantUML output:
@startuml
class Flight {
  flightNumber : Integer
  departureTime : Date
}
@enduml"
ex-00154,class,plantuml_class_diagram_training.jsonl,Create a class with visibility modifiers,"Dummy class with private field1, protected field2, package private method1, and public method2","@startuml
class Dummy {
  -field1
  #field2
  ~method1()
  +method2()
}
@enduml","Diagram type: class
Instruction: Create a class with visibility modifiers
Additional input: Dummy class with private field1, protected field2, package private method1, and public method2
PlantUML output:
@startuml
class Dummy {
  -field1
  #field2
  ~method1()
  +method2()
}
@enduml"
ex-00155,class,plantuml_class_diagram_training.jsonl,Create a class diagram with abstract and static members,Dummy class with static String id and abstract void methods(),"@startuml
class Dummy {
  {static} String id
  {abstract} void methods()
}
@enduml","Diagram type: class
Instruction: Create a class diagram with abstract and static members
Additional input: Dummy class with static String id and abstract void methods()
PlantUML output:
@startuml
class Dummy {
  {static} String id
  {abstract} void methods()
}
@enduml"
ex-00156,class,plantuml_class_diagram_training.jsonl,Create a class with grouped sections using separators,"User class with Simple Getter section, Some setter section, private data section, and encrypted section","@startuml
class User {
  .. Simple Getter ..
  + getName()
  + getAddress()
  .. Some setter ..
  + setName()
  __ private data __
  int age
  -- encrypted --
  String password
}
@enduml","Diagram type: class
Instruction: Create a class with grouped sections using separators
Additional input: User class with Simple Getter section, Some setter section, private data section, and encrypted section
PlantUML output:
@startuml
class User {
  .. Simple Getter ..
  + getName()
  + getAddress()
  .. Some setter ..
  + setName()
  __ private data __
  int age
  -- encrypted --
  String password
}
@enduml"
ex-00157,class,plantuml_class_diagram_training.jsonl,Create a class with stereotype,Object class with general stereotype,"@startuml
class Object << general >>
@enduml","Diagram type: class
Instruction: Create a class with stereotype
Additional input: Object class with general stereotype
PlantUML output:
@startuml
class Object << general >>
@enduml"
ex-00158,class,plantuml_class_diagram_training.jsonl,Create a note attached to a class,"Add a note on top of Object class saying 'In java, every class extends this one'","@startuml
class Object << general >>
note top of Object : In java, every class\nextends this one.
@enduml","Diagram type: class
Instruction: Create a note attached to a class
Additional input: Add a note on top of Object class saying 'In java, every class extends this one'
PlantUML output:
@startuml
class Object << general >>
note top of Object : In java, every class\nextends this one.
@enduml"
ex-00159,class,plantuml_class_diagram_training.jsonl,Create a floating note,Create a floating note saying 'This is a floating note',"@startuml
note ""This is a floating note"" as N1
@enduml","Diagram type: class
Instruction: Create a floating note
Additional input: Create a floating note saying 'This is a floating note'
PlantUML output:
@startuml
note ""This is a floating note"" as N1
@enduml"
ex-00160,class,plantuml_class_diagram_training.jsonl,Create an abstract class,Create AbstractList as abstract class,"@startuml
abstract class AbstractList
@enduml","Diagram type: class
Instruction: Create an abstract class
Additional input: Create AbstractList as abstract class
PlantUML output:
@startuml
abstract class AbstractList
@enduml"
ex-00161,class,plantuml_class_diagram_training.jsonl,Create an interface,Create List interface,"@startuml
interface List
@enduml","Diagram type: class
Instruction: Create an interface
Additional input: Create List interface
PlantUML output:
@startuml
interface List
@enduml"
ex-00162,class,plantuml_class_diagram_training.jsonl,Create an enum,"Create TimeUnit enum with DAYS, HOURS, MINUTES","@startuml
enum TimeUnit {
  DAYS
  HOURS
  MINUTES
}
@enduml","Diagram type: class
Instruction: Create an enum
Additional input: Create TimeUnit enum with DAYS, HOURS, MINUTES
PlantUML output:
@startuml
enum TimeUnit {
  DAYS
  HOURS
  MINUTES
}
@enduml"
ex-00163,class,plantuml_class_diagram_training.jsonl,Create an annotation,Create SuppressWarnings annotation,"@startuml
annotation SuppressWarnings
@enduml","Diagram type: class
Instruction: Create an annotation
Additional input: Create SuppressWarnings annotation
PlantUML output:
@startuml
annotation SuppressWarnings
@enduml"
ex-00164,class,plantuml_class_diagram_training.jsonl,Create an annotation with members,Create Annotation with foo() and bar() methods,"@startuml
annotation Annotation {
  annotation with members
  String foo()
  String bar()
}
@enduml","Diagram type: class
Instruction: Create an annotation with members
Additional input: Create Annotation with foo() and bar() methods
PlantUML output:
@startuml
annotation Annotation {
  annotation with members
  String foo()
  String bar()
}
@enduml"
ex-00165,class,plantuml_class_diagram_training.jsonl,Hide empty members in class diagram,,"@startuml
hide empty members
class Dummy1 {
  +myMethods()
}
class Dummy2 {
  +hiddenMethod()
}
@enduml","Diagram type: class
Instruction: Hide empty members in class diagram
PlantUML output:
@startuml
hide empty members
class Dummy1 {
  +myMethods()
}
class Dummy2 {
  +hiddenMethod()
}
@enduml"
ex-00166,class,plantuml_class_diagram_training.jsonl,Hide all methods in diagram,,"@startuml
hide methods
class Dummy {
  -field1
  #field2
  ~method1()
  +method2()
}
@enduml","Diagram type: class
Instruction: Hide all methods in diagram
PlantUML output:
@startuml
hide methods
class Dummy {
  -field1
  #field2
  ~method1()
  +method2()
}
@enduml"
ex-00167,class,plantuml_class_diagram_training.jsonl,Create a class with generics,Foo class with generic type extends Element,"@startuml
class Foo<? extends Element> {
  int size()
}
Foo *- Element
@enduml","Diagram type: class
Instruction: Create a class with generics
Additional input: Foo class with generic type extends Element
PlantUML output:
@startuml
class Foo<? extends Element> {
  int size()
}
Foo *- Element
@enduml"
ex-00168,class,plantuml_class_diagram_training.jsonl,Create a class with custom spot stereotype,System class with Singleton stereotype using S spot in orange,"@startuml
class System << (S,#FF7700) Singleton >>
@enduml","Diagram type: class
Instruction: Create a class with custom spot stereotype
Additional input: System class with Singleton stereotype using S spot in orange
PlantUML output:
@startuml
class System << (S,#FF7700) Singleton >>
@enduml"
ex-00169,class,plantuml_class_diagram_training.jsonl,Create a simple package,Create package named com.plantuml containing Object and Demo1,"@startuml
package com.plantuml {
  Object <|-- Demo1
}
@enduml","Diagram type: class
Instruction: Create a simple package
Additional input: Create package named com.plantuml containing Object and Demo1
PlantUML output:
@startuml
package com.plantuml {
  Object <|-- Demo1
}
@enduml"
ex-00170,class,plantuml_class_diagram_training.jsonl,Create a package with background color,Classic Collections package in gray with Object and ArrayList,"@startuml
package ""Classic Collections"" #DDDDDD {
  Object <|-- ArrayList
}
@enduml","Diagram type: class
Instruction: Create a package with background color
Additional input: Classic Collections package in gray with Object and ArrayList
PlantUML output:
@startuml
package ""Classic Collections"" #DDDDDD {
  Object <|-- ArrayList
}
@enduml"
ex-00171,class,plantuml_class_diagram_training.jsonl,Create a package with Node style,foo1 package using Node style,"@startuml
package foo1 <<Node>> {
  class Class1
}
@enduml","Diagram type: class
Instruction: Create a package with Node style
Additional input: foo1 package using Node style
PlantUML output:
@startuml
package foo1 <<Node>> {
  class Class1
}
@enduml"
ex-00172,class,plantuml_class_diagram_training.jsonl,Create a package with Rectangle style,foo2 package using Rectangle style,"@startuml
package foo2 <<Rectangle>> {
  class Class2
}
@enduml","Diagram type: class
Instruction: Create a package with Rectangle style
Additional input: foo2 package using Rectangle style
PlantUML output:
@startuml
package foo2 <<Rectangle>> {
  class Class2
}
@enduml"
ex-00173,class,plantuml_class_diagram_training.jsonl,Set custom namespace separator,Use :: as separator for X1::X2::foo class,"@startuml
set separator ::
class X1::X2::foo {
  some info
}
@enduml","Diagram type: class
Instruction: Set custom namespace separator
Additional input: Use :: as separator for X1::X2::foo class
PlantUML output:
@startuml
set separator ::
class X1::X2::foo {
  some info
}
@enduml"
ex-00174,class,plantuml_class_diagram_training.jsonl,Disable automatic namespace creation,Create X1.X2.foo class without nested packages,"@startuml
set separator none
class X1.X2.foo {
  some info
}
@enduml","Diagram type: class
Instruction: Disable automatic namespace creation
Additional input: Create X1.X2.foo class without nested packages
PlantUML output:
@startuml
set separator none
class X1.X2.foo {
  some info
}
@enduml"
ex-00175,class,plantuml_class_diagram_training.jsonl,Create lollipop interface,bar provides interface to foo,"@startuml
class foo
bar ()- foo
@enduml","Diagram type: class
Instruction: Create lollipop interface
Additional input: bar provides interface to foo
PlantUML output:
@startuml
class foo
bar ()- foo
@enduml"
ex-00176,class,plantuml_class_diagram_training.jsonl,Change arrow direction with keywords,"Create arrows pointing left, right, up, and down from foo","@startuml
foo -left-> dummyLeft
foo -right-> dummyRight
foo -up-> dummyUp
foo -down-> dummyDown
@enduml","Diagram type: class
Instruction: Change arrow direction with keywords
Additional input: Create arrows pointing left, right, up, and down from foo
PlantUML output:
@startuml
foo -left-> dummyLeft
foo -right-> dummyRight
foo -up-> dummyUp
foo -down-> dummyDown
@enduml"
ex-00177,class,plantuml_class_diagram_training.jsonl,Create association class,Student and Course with Enrollment association class,"@startuml
class Student {
  Name
}
Student ""0..*"" - ""1..*"" Course
(Student, Course) .. Enrollment
class Enrollment {
  drop()
  cancel()
}
@enduml","Diagram type: class
Instruction: Create association class
Additional input: Student and Course with Enrollment association class
PlantUML output:
@startuml
class Student {
  Name
}
Student ""0..*"" - ""1..*"" Course
(Student, Course) .. Enrollment
class Enrollment {
  drop()
  cancel()
}
@enduml"
ex-00178,class,plantuml_class_diagram_training.jsonl,Apply skinparam to classes,"Set class background to PaleGreen, arrows to SeaGreen, border to SpringGreen","@startuml
skinparam class {
  BackgroundColor PaleGreen
  ArrowColor SeaGreen
  BorderColor SpringGreen
}
@enduml","Diagram type: class
Instruction: Apply skinparam to classes
Additional input: Set class background to PaleGreen, arrows to SeaGreen, border to SpringGreen
PlantUML output:
@startuml
skinparam class {
  BackgroundColor PaleGreen
  ArrowColor SeaGreen
  BorderColor SpringGreen
}
@enduml"
ex-00179,class,plantuml_class_diagram_training.jsonl,Apply color to specific stereotype,Set Foo stereotype background to Wheat with Tomato border,"@startuml
skinparam class {
  BackgroundColor<<Foo>> Wheat
  BorderColor<<Foo>> Tomato
}
class Class01 <<Foo>>
@enduml","Diagram type: class
Instruction: Apply color to specific stereotype
Additional input: Set Foo stereotype background to Wheat with Tomato border
PlantUML output:
@startuml
skinparam class {
  BackgroundColor<<Foo>> Wheat
  BorderColor<<Foo>> Tomato
}
class Class01 <<Foo>>
@enduml"
ex-00180,class,plantuml_class_diagram_training.jsonl,Use color gradient for class,Create Foo class with red to green gradient,"@startuml
class Foo #red-green
@enduml","Diagram type: class
Instruction: Use color gradient for class
Additional input: Create Foo class with red to green gradient
PlantUML output:
@startuml
class Foo #red-green
@enduml"
ex-00181,class,plantuml_class_diagram_training.jsonl,Group classes together for layout,"Group Together1, Together2, Together3 classes","@startuml
together {
  class Together1
  class Together2
  class Together3
}
Together1 - Together2
Together2 - Together3
@enduml","Diagram type: class
Instruction: Group classes together for layout
Additional input: Group Together1, Together2, Together3 classes
PlantUML output:
@startuml
together {
  class Together1
  class Together2
  class Together3
}
Together1 - Together2
Together2 - Together3
@enduml"
ex-00182,class,plantuml_class_diagram_training.jsonl,Split diagram into pages,Split diagram into 2x2 pages,"@startuml
page 2x2
skinparam pageMargin 10
@enduml","Diagram type: class
Instruction: Split diagram into pages
Additional input: Split diagram into 2x2 pages
PlantUML output:
@startuml
page 2x2
skinparam pageMargin 10
@enduml"
ex-00183,class,plantuml_class_diagram_training.jsonl,Use extends keyword,ArrayList extends AbstractList,"@startuml
class ArrayList extends AbstractList
@enduml","Diagram type: class
Instruction: Use extends keyword
Additional input: ArrayList extends AbstractList
PlantUML output:
@startuml
class ArrayList extends AbstractList
@enduml"
ex-00184,class,plantuml_class_diagram_training.jsonl,Use implements keyword,ArrayList implements List,"@startuml
class ArrayList implements List
@enduml","Diagram type: class
Instruction: Use implements keyword
Additional input: ArrayList implements List
PlantUML output:
@startuml
class ArrayList implements List
@enduml"
ex-00185,class,plantuml_class_diagram_training.jsonl,Create bold relationship line,Bold arrow from foo to bar1,"@startuml
class foo
class bar1
foo -[bold]-> bar1
@enduml","Diagram type: class
Instruction: Create bold relationship line
Additional input: Bold arrow from foo to bar1
PlantUML output:
@startuml
class foo
class bar1
foo -[bold]-> bar1
@enduml"
ex-00186,class,plantuml_class_diagram_training.jsonl,Create dashed relationship line,Dashed arrow from foo to bar2,"@startuml
class foo
class bar2
foo -[dashed]-> bar2
@enduml","Diagram type: class
Instruction: Create dashed relationship line
Additional input: Dashed arrow from foo to bar2
PlantUML output:
@startuml
class foo
class bar2
foo -[dashed]-> bar2
@enduml"
ex-00187,class,plantuml_class_diagram_training.jsonl,Create dotted relationship line,Dotted arrow from foo to bar3,"@startuml
class foo
class bar3
foo -[dotted]-> bar3
@enduml","Diagram type: class
Instruction: Create dotted relationship line
Additional input: Dotted arrow from foo to bar3
PlantUML output:
@startuml
class foo
class bar3
foo -[dotted]-> bar3
@enduml"
ex-00188,class,plantuml_class_diagram_training.jsonl,Create colored relationship line,Red arrow from foo to bar1,"@startuml
class foo
class bar1
foo -[#red]-> bar1 : [#red]
@enduml","Diagram type: class
Instruction: Create colored relationship line
Additional input: Red arrow from foo to bar1
PlantUML output:
@startuml
class foo
class bar1
foo -[#red]-> bar1 : [#red]
@enduml"
ex-00189,class,plantuml_class_diagram_training.jsonl,Create thick relationship line,Thickness 4 arrow from foo to bar,"@startuml
class foo
class bar
foo -[thickness=4]-> bar
@enduml","Diagram type: class
Instruction: Create thick relationship line
Additional input: Thickness 4 arrow from foo to bar
PlantUML output:
@startuml
class foo
class bar
foo -[thickness=4]-> bar
@enduml"
ex-00190,class,plantuml_class_diagram_training.jsonl,Create relationship with mixed styles,Red dashed thick arrow from foo to bar,"@startuml
class foo
class bar
foo -[#red,dashed,thickness=2]-> bar
@enduml","Diagram type: class
Instruction: Create relationship with mixed styles
Additional input: Red dashed thick arrow from foo to bar
PlantUML output:
@startuml
class foo
class bar
foo -[#red,dashed,thickness=2]-> bar
@enduml"
ex-00191,class,plantuml_class_diagram_training.jsonl,Create inline styled class,Foo class with pink background and red bold border,"@startuml
class Foo #pink;line:red;line.bold
@enduml","Diagram type: class
Instruction: Create inline styled class
Additional input: Foo class with pink background and red bold border
PlantUML output:
@startuml
class Foo #pink;line:red;line.bold
@enduml"
ex-00192,class,plantuml_class_diagram_training.jsonl,Create arrow from class member to member,Arrow from Foo.field1 to Bar.field3,"@startuml
class Foo {
  + field1
  + field2
}
class Bar {
  + field3
  + field4
}
Foo::field1 --> Bar::field3 : foo
@enduml","Diagram type: class
Instruction: Create arrow from class member to member
Additional input: Arrow from Foo.field1 to Bar.field3
PlantUML output:
@startuml
class Foo {
  + field1
  + field2
}
class Bar {
  + field3
  + field4
}
Foo::field1 --> Bar::field3 : foo
@enduml"
ex-00193,class,plantuml_class_diagram_training.jsonl,Group inheritance arrows,Set groupInheritance threshold to 2,"@startuml
skinparam groupInheritance 2
A1 <|-- B1
A2 <|-- B2
A2 <|-- C2
@enduml","Diagram type: class
Instruction: Group inheritance arrows
Additional input: Set groupInheritance threshold to 2
PlantUML output:
@startuml
skinparam groupInheritance 2
A1 <|-- B1
A2 <|-- B2
A2 <|-- C2
@enduml"
